TIME,IP1,IV1,IV2
0.0,-22.986637,-16.005053,-0.114105515
0.02,-3.7575107,-23.21556,0.045777034
0.04,-3.7575107,-6.5512733,-0.4338706
0.06,10.664334,8.02998,0.20565958
0.08,-75.86674,0.6592364,-0.114105515
0.099999994,20.278896,3.7036738,0.20565958
0.12,-18.179356,3.0627398,0.20565958
0.14,-8.564792,-17.76762,0.045777034
0.16,15.471616,-17.76762,0.20565958
0.17999999,53.92987,-9.275244,-0.2739881
0.19999999,-37.40848,27.738708,0.045777034
0.22,29.893461,-9.59571,-0.59375316
0.24,25.08618,9.632316,-0.114105515
0.26,-32.6012,0.33876932,0.20565958
0.28,29.893461,2.902506,0.045777034
0.29999998,-18.179356,-6.5512733,0.8451898
0.32,-85.48129,20.047497,0.68530726
0.34,-3.7575107,-20.171124,-0.4338706
0.35999998,15.471616,0.33876932,-0.7536357
0.38,10.664334,1.9411048,0.045777034
0.39999998,15.471616,31.744547,0.5254247
0.42,-18.179356,-6.0705724,-0.114105515
0.44,5.857053,4.024141,-0.2739881
0.45999998,53.92987,-22.414392,-0.9135183
0.48,-18.179356,-15.203884,-0.2739881
0.5,15.471616,13.157454,-0.2739881
0.52,-3.7575107,-38.27751,-0.59375316
0.53999996,-13.372073,-6.0705724,0.20565958
0.56,25.08618,29.341045,-0.2739881
0.58,34.700745,3.0627398,-0.114105515
0.59999996,68.35171,-12.159447,-0.114105515
0.62,-8.564792,7.709513,-0.114105515
0.64,-18.179356,-24.497427,-0.114105515
0.65999997,-3.7575107,-17.126686,-0.59375316
0.68,-22.986637,9.952783,-0.4338706
0.7,-13.372073,-20.01089,-0.4338706
0.71999997,44.315308,32.545715,-0.114105515
0.74,5.857053,-16.645985,-0.4338706
0.76,15.471616,-11.518513,0.36554214
0.78,73.159,-4.6284704,-0.4338706
0.79999995,1.049771,7.549279,-0.4338706
0.82,-8.564792,36.23109,0.045777034
0.84,10.664334,5.78671,-0.2739881
0.85999995,5.857053,0.6592364,0.045777034
0.88,20.278896,-16.966454,-0.114105515
0.9,10.664334,-23.21556,0.045777034
0.91999996,53.92987,10.75395,0.045777034
0.94,-3.7575107,-7.5126743,-0.114105515
0.96,-18.179356,3.7036738,0.045777034
0.97999996,-13.372073,-11.358279,0.045777034
1.0,-13.372073,10.914185,-0.114105515
1.02,15.471616,-13.761782,-0.59375316
1.04,58.737152,38.153893,0.045777034
1.06,1.049771,-27.541864,0.20565958
1.0799999,29.893461,1.9411048,-0.114105515
1.1,15.471616,-6.3910394,-0.114105515
1.12,34.700745,11.555119,0.20565958
1.14,-3.7575107,20.207731,-0.114105515
1.16,20.278896,9.792548,-0.2739881
1.18,5.857053,4.9855423,-0.114105515
1.1999999,5.857053,-15.203884,0.045777034
1.22,44.315308,30.302446,0.045777034
1.24,1.049771,-2.5454345,0.20565958
1.26,68.35171,-30.5863,0.36554214
1.28,20.278896,-17.607388,-0.2739881
1.3,-27.793919,-15.684585,0.045777034
1.3199999,29.893461,-6.0705724,0.045777034
1.3399999,-3.7575107,30.94338,0.045777034
1.36,-3.7575107,49.049774,0.5254247
1.38,15.471616,4.184375,0.045777034
1.4,-13.372073,16.682592,0.5254247
1.42,5.857053,5.78671,-0.2739881
1.4399999,25.08618,-18.568789,-0.59375316
1.4599999,1.049771,5.9469438,-0.2739881
1.48,-8.564792,22.451,0.36554214
1.5,1.049771,-9.435476,0.045777034
1.52,34.700745,-5.7501054,0.045777034
1.54,-13.372073,-12.159447,0.045777034
1.56,1.049771,42.9609,-0.114105515
1.5799999,-8.564792,22.451,-0.2739881
1.5999999,-13.372073,4.504842,0.20565958
1.62,-18.179356,3.2229733,0.045777034
1.64,25.08618,46.806507,0.20565958
1.66,10.664334,-8.954777,-0.4338706
1.68,-27.793919,-20.171124,-0.59375316
1.6999999,34.700745,-18.568789,-0.2739881
1.7199999,20.278896,-3.3466022,0.045777034
1.74,-42.215763,0.81947,0.045777034
1.76,25.08618,-7.0319734,0.045777034
1.78,1.049771,5.6264763,0.68530726
1.8,-8.564792,-9.435476,0.045777034
1.8199999,5.857053,-0.62263197,0.20565958
1.8399999,5.857053,44.08254,0.20565958
1.86,-13.372073,5.6264763,0.5254247
1.88,10.664334,-0.9430991,-0.114105515
1.9,-13.372073,24.053337,0.20565958
1.92,5.857053,-12.31968,0.5254247
1.9399999,1.049771,7.0685787,0.20565958
1.9599999,63.54443,7.228812,0.045777034
1.9799999,-3.7575107,2.4218054,-0.114105515
2.0,68.35171,-16.80622,-0.114105515
2.02,-22.986637,-11.358279,0.68530726
2.04,5.857053,-6.711507,0.36554214
2.06,10.664334,9.151615,0.20565958
2.08,77.96628,60.746834,0.36554214
2.1,-13.372073,-18.889254,0.5254247
2.12,5.857053,-15.04365,0.20565958
2.1399999,20.278896,40.877865,0.5254247
2.1599998,15.471616,-7.0319734,0.68530726
2.18,10.664334,29.98198,0.20565958
2.2,1.049771,10.75395,0.045777034
2.22,1.049771,14.439322,0.5254247
2.24,-22.986637,-4.7887044,0.8451898
2.26,-3.7575107,7.228812,0.8451898
2.28,5.857053,-22.254158,1.0050724
2.3,25.08618,-1.7442669,0.20565958
2.32,20.278896,24.373804,0.045777034
2.34,-51.830326,82.85908,1.3248374
2.36,-32.6012,18.284927,0.20565958
2.3799999,15.471616,8.831148,0.045777034
2.3999999,25.08618,3.8639073,0.36554214
2.4199998,39.508022,8.02998,0.20565958
2.44,34.700745,29.98198,1.0050724
2.46,20.278896,-11.999213,0.68530726
2.48,1.049771,-21.132523,0.8451898
2.5,29.893461,1.4604042,0.8451898
2.52,15.471616,30.783146,0.36554214
2.54,-13.372073,77.2509,0.36554214
2.56,10.664334,53.21585,0.5254247
2.58,34.700745,16.041658,0.5254247
2.6,25.08618,-17.447153,0.20565958
2.62,29.893461,27.418243,0.5254247
2.6399999,5.857053,18.445162,0.68530726
2.6599998,-3.7575107,-8.634309,0.045777034
2.6799998,44.315308,-4.948938,0.5254247
2.7,53.92987,-19.369957,0.045777034
2.72,-3.7575107,23.572638,0.5254247
2.74,15.471616,5.6264763,-0.114105515
2.76,1.049771,3.3832066,1.0050724
2.78,34.700745,-30.426067,0.68530726
2.8,25.08618,20.367966,0.36554214
2.82,49.122585,5.466243,0.045777034
2.84,53.92987,-9.275244,0.5254247
2.86,25.08618,17.00306,0.20565958
2.8799999,-27.793919,14.279089,0.5254247
2.8999999,29.893461,22.290768,0.8451898
2.9199998,5.857053,4.6650753,0.5254247
2.9399998,-3.7575107,-24.497427,0.36554214
2.96,-3.7575107,-18.889254,0.36554214
2.98,15.471616,8.350447,0.8451898
3.0,-27.793919,12.356286,0.36554214
3.02,34.700745,23.412403,-0.2739881
3.04,-13.372073,46.325806,0.68530726
3.06,-3.7575107,14.439322,0.36554214
3.08,-8.564792,2.261572,0.8451898
3.1,29.893461,30.302446,-0.2739881
3.12,15.471616,5.145776,0.045777034
3.1399999,44.315308,2.902506,0.045777034
3.1599998,15.471616,27.097775,0.8451898
3.1799998,25.08618,-22.73486,0.68530726
3.1999998,-8.564792,3.2229733,0.5254247
3.22,-8.564792,-17.286919,0.20565958
3.24,-18.179356,-20.972292,0.5254247
3.26,39.508022,4.024141,0.36554214
3.28,92.38812,0.17853576,0.68530726
3.3,49.122585,-24.497427,0.36554214
3.32,-8.564792,-23.375792,0.5254247
3.34,25.08618,12.356286,0.5254247
3.36,-42.215763,7.228812,0.36554214
3.3799999,10.664334,-9.59571,0.5254247
3.3999999,44.315308,2.5820389,0.5254247
3.4199998,29.893461,-24.016727,0.8451898
3.4399998,5.857053,10.113016,1.48472
3.46,-3.7575107,-1.5840333,0.68530726
3.48,25.08618,14.279089,0.8451898
3.5,29.893461,5.3060093,0.20565958
3.52,20.278896,0.33876932,0.045777034
3.54,25.08618,-0.30216488,0.36554214
3.56,-13.372073,0.018302217,0.045777034
3.58,20.278896,35.91062,0.68530726
3.6,-3.7575107,-7.192207,0.5254247
3.62,10.664334,-4.3080034,0.8451898
3.6399999,29.893461,-17.447153,0.36554214
3.6599998,63.54443,-8.153608,0.045777034
3.6799998,20.278896,-14.402717,0.5254247
3.6999998,-3.7575107,-4.3080034,0.20565958
3.72,53.92987,24.213572,-0.114105515
3.74,5.857053,-28.6635,0.36554214
3.76,34.700745,10.75395,0.5254247
3.78,58.737152,9.632316,0.5254247
3.8,1.049771,-20.171124,0.68530726
3.82,15.471616,-1.5840333,0.20565958
3.84,20.278896,5.78671,0.68530726
3.86,5.857053,-12.960614,-0.2739881
3.8799999,15.471616,-1.2635663,-0.114105515
3.8999999,-13.372073,-21.132523,0.5254247
3.9199998,5.857053,14.599556,1.0050724
3.9399998,49.122585,21.169132,0.68530726
3.9599998,49.122585,-26.90093,0.20565958
3.98,34.700745,-12.31968,-0.114105515
4.0,34.700745,3.0627398,0.36554214
4.02,49.122585,-2.0647337,0.36554214
4.04,15.471616,21.649834,0.8451898
4.06,25.08618,22.611235,0.5254247
4.08,-13.372073,-4.14777,0.20565958
4.1,15.471616,-6.230806,0.68530726
4.12,-13.372073,5.6264763,0.36554214
4.14,1.049771,-1.7442669,0.5254247
4.16,-22.986637,-2.385201,0.20565958
4.18,20.278896,-11.358279,0.68530726
4.2,-8.564792,-4.948938,0.68530726
4.22,29.893461,13.798388,0.045777034
4.24,20.278896,-26.259996,-0.4338706
4.2599998,-37.40848,3.0627398,-0.114105515
4.2799997,5.857053,-0.30216488,0.8451898
4.2999997,-8.564792,47.928143,0.8451898
4.3199997,-27.793919,-21.773457,0.045777034
4.3399997,29.893461,-41.802643,0.045777034
4.36,-8.564792,-16.165285,0.20565958
4.38,25.08618,2.261572,0.68530726
4.4,15.471616,32.866184,0.8451898
4.42,20.278896,-5.910339,0.36554214
4.44,10.664334,9.792548,0.20565958
4.46,5.857053,-6.5512733,0.20565958
4.48,1.049771,7.8697467,0.36554214
4.5,-47.023045,11.715352,0.20565958
4.52,-3.7575107,11.715352,0.045777034
4.54,-3.7575107,12.99722,1.3248374
4.56,10.664334,-5.2694044,0.36554214
4.58,20.278896,30.46268,0.20565958
4.6,39.508022,-2.5454345,-0.114105515
4.62,15.471616,-5.2694044,0.36554214
4.64,5.857053,10.433483,0.36554214
4.66,5.857053,-6.230806,0.045777034
4.68,1.049771,-10.877579,-0.2739881
4.7,-13.372073,38.794827,-0.114105515
4.72,-22.986637,18.765629,0.5254247
4.74,10.664334,7.228812,0.5254247
4.7599998,25.08618,-7.993375,0.5254247
4.7799997,25.08618,-16.165285,0.20565958
4.7999997,1.049771,-7.993375,0.045777034
4.8199997,39.508022,-6.230806,0.20565958
4.8399997,29.893461,0.33876932,0.36554214
4.8599997,29.893461,-22.414392,0.20565958
4.88,1.049771,47.28721,0.20565958
4.9,5.857053,11.234652,0.045777034
4.92,73.159,-12.31968,-0.4338706
4.94,-3.7575107,-2.7056682,0.045777034
4.96,20.278896,3.0627398,0.045777034
4.98,5.857053,7.0685787,0.20565958
5.0,5.857053,26.45684,0.20565958
5.02,-13.372073,19.086096,0.045777034
5.04,25.08618,1.9411048,0.5254247
5.06,-8.564792,-6.8717403,0.68530726
5.08,5.857053,10.914185,0.68530726
5.1,34.700745,-16.325518,0.36554214
5.12,10.664334,98.88245,0.36554214
5.14,-18.179356,45.52464,0.5254247
5.16,20.278896,12.8369875,0.8451898
5.18,-42.215763,-21.773457,0.045777034
5.2,44.315308,-13.281082,0.045777034
5.22,5.857053,6.5878778,0.045777034
5.24,10.664334,41.358562,0.045777034
5.2599998,-13.372073,-5.429638,-0.2739881
5.2799997,5.857053,-4.14777,0.045777034
5.2999997,29.893461,23.893103,0.5254247
5.3199997,1.049771,-7.0319734,0.045777034
5.3399997,20.278896,13.958622,0.20565958
5.3599997,39.508022,17.323528,0.5254247
5.38,-8.564792,7.8697467,0.5254247
5.4,1.049771,-7.672908,0.5254247
5.42,44.315308,-19.690422,0.5254247
5.44,-8.564792,9.151615,0.045777034
5.46,5.857053,-36.995644,0.36554214
5.48,-3.7575107,-36.354706,-0.114105515
5.5,49.122585,-16.966454,0.20565958
5.52,-13.372073,17.96446,0.5254247
5.54,-47.023045,4.6650753,0.045777034
5.56,-3.7575107,37.67319,0.5254247
5.58,-42.215763,39.275528,-0.114105515
5.6,-32.6012,-7.993375,-0.114105515
5.62,-22.986637,51.77375,0.045777034
5.64,44.315308,-4.7887044,-0.4338706
5.66,-56.637608,20.848665,-0.114105515
5.68,-47.023045,-7.5126743,0.20565958
5.7,-3.7575107,-16.005053,0.20565958
5.72,-3.7575107,24.534037,-0.2739881
5.74,1.049771,-6.230806,-0.2739881
5.7599998,5.857053,-32.5091,-0.2739881
5.7799997,44.315308,-33.630737,0.20565958
5.7999997,1.049771,13.638155,0.045777034
5.8199997,1.049771,20.207731,-0.2739881
5.8399997,-22.986637,39.916462,0.36554214
5.8599997,5.857053,-14.883417,-0.114105515
5.8799996,-27.793919,-43.40498,0.36554214
5.9,-66.25217,22.130533,0.045777034
5.92,29.893461,-11.037811,-0.4338706
5.94,5.857053,12.676753,0.20565958
5.96,-18.179356,12.356286,-0.2739881
5.98,10.664334,40.877865,-0.114105515
6.0,-8.564792,6.4276443,0.36554214
6.02,25.08618,-22.414392,0.36554214
6.04,10.664334,-21.292757,0.045777034
6.06,-18.179356,2.5820389,-0.114105515
6.08,1.049771,2.902506,-0.4338706
6.1,-13.372073,6.2674108,0.045777034
6.12,-27.793919,4.6650753,-0.114105515
6.14,-22.986637,-23.856495,0.045777034
6.16,1.049771,-19.530188,-0.114105515
6.18,-56.637608,-10.717345,0.20565958
6.2,1.049771,-7.0319734,0.045777034
6.22,-8.564792,-8.634309,0.20565958
6.24,68.35171,-68.72187,-0.114105515
6.2599998,-13.372073,19.566797,0.5254247
6.2799997,-37.40848,-4.948938,-0.4338706
6.2999997,-8.564792,-0.30216488,0.045777034
6.3199997,49.122585,-10.236644,-0.4338706
6.3399997,-22.986637,-5.429638,-0.59375316
6.3599997,15.471616,-0.9430991,-0.2739881
6.3799996,-3.7575107,-22.895092,0.045777034
6.3999996,39.508022,-11.198046,0.36554214
6.42,-3.7575107,-18.088087,0.045777034
6.44,25.08618,-12.960614,0.045777034
6.46,20.278896,15.24049,-0.114105515
6.48,-13.372073,14.920023,-0.2739881
6.5,25.08618,-9.115009,-0.4338706
6.52,29.893461,-3.6670694,0.5254247
6.54,10.664334,-45.64825,0.20565958
6.56,29.893461,-8.313842,-0.2739881
6.58,1.049771,0.81947,0.045777034
6.6,-42.215763,-16.485752,0.8451898
6.62,10.664334,-5.429638,0.045777034
6.64,49.122585,1.3001705,-0.114105515
6.66,-3.7575107,66.83571,0.20565958
6.68,15.471616,-11.358279,-0.114105515
6.7,-128.74683,11.234652,0.20565958
6.72,-18.179356,9.151615,0.5254247
6.74,-3.7575107,33.98782,0.20565958
6.7599998,15.471616,-21.613226,-0.114105515
6.7799997,-18.179356,-2.8659017,-0.114105515
6.7999997,-22.986637,6.7481112,0.045777034
6.8199997,-3.7575107,-17.76762,-0.2739881
6.8399997,-56.637608,3.0627398,0.045777034
6.8599997,25.08618,4.825309,-0.2739881
6.8799996,-27.793919,-13.922015,-0.2739881
6.8999996,15.471616,-10.236644,-0.114105515
6.92,1.049771,27.578474,-0.2739881
6.94,34.700745,0.6592364,-0.2739881
6.96,25.08618,-11.358279,0.68530726
6.98,-22.986637,41.5188,0.68530726
